N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Previous_Crop,Recommended_Crop
110,21,42,7.0,28.06,Clay,1.15,2.67,36.59,57.89,1484.45,4.23,19.42,East,844,Rabi,Rainfed,237.52,Cotton,Sugarcane
36,80,13,5.73,19.09,Clay,0.59,2.74,23.4,72.6,2057.64,9.33,17.87,East,1654,Rabi,Canal,58.22,Rice,Rice
147,55,101,6.04,46.77,Clay,0.69,2.02,32.5,78.19,1242.31,11.04,14.0,West,1035,Kharif,Rainfed,241.93,Rice,Sugarcane
127,56,35,5.72,19.95,Loamy,0.68,0.97,24.89,39.09,1299.47,5.39,16.05,South,1410,Kharif,Sprinkler,340.43,Wheat,Sugarcane
44,88,77,6.88,40.84,Loamy,1.33,1.52,36.39,32.7,2544.77,7.23,17.12,South,787,Zaid,Sprinkler,320.58,Vegetables,Rice
107,47,25,5.83,23.98,Silt,0.42,2.31,32.49,37.71,1702.55,10.47,5.12,East,98,Rabi,Canal,287.7,Rice,Rice
48,30,110,7.4,42.85,Sandy,0.7,2.46,12.56,50.46,1845.42,8.28,3.72,North,211,Rabi,Sprinkler,106.43,Cotton,Wheat
82,23,31,6.82,37.02,Silt,1.35,1.1,32.56,87.39,1031.09,6.86,4.88,North,1211,Zaid,Rainfed,152.6,Pulses,Pulses
133,11,45,5.08,31.17,Silt,0.22,1.05,18.0,32.57,1552.34,9.01,17.88,South,2383,Kharif,Drip,187.4,Vegetables,Sugarcane
68,81,111,5.74,43.65,Silt,1.43,2.23,33.19,85.19,351.09,6.6,7.39,South,1575,Rabi,Canal,108.44,Wheat,Millet
100,79,67,5.39,30.79,Loamy,1.37,2.09,38.46,63.68,1404.83,9.01,3.91,West,1772,Kharif,Sprinkler,214.78,Rice,Pulses
103,42,64,6.06,51.07,Clay,0.74,1.59,37.9,36.14,2447.55,5.16,19.99,Central,672,Rabi,Canal,198.32,Maize,Rice
124,15,44,6.56,46.48,Clay,1.05,1.32,13.75,39.16,652.08,5.8,4.2,East,2073,Rabi,Canal,227.42,Cotton,Wheat
137,46,34,6.53,37.03,Loamy,1.49,2.01,11.64,71.36,2340.54,4.12,3.21,West,1966,Zaid,Rainfed,274.67,Cotton,Wheat
105,23,81,7.52,53.85,Silt,0.92,0.19,33.31,66.51,1247.8,5.48,16.85,East,47,Kharif,Canal,180.51,Maize,Sugarcane
82,46,90,5.26,51.44,Sandy,0.33,0.32,31.3,40.05,275.77,5.05,17.06,Central,2109,Zaid,Sprinkler,154.94,Wheat,Millet
123,17,70,8.29,36.59,Loamy,1.31,1.76,15.29,84.26,2868.98,8.78,11.45,Central,1935,Rabi,Drip,202.1,Vegetables,Wheat
68,86,27,5.87,13.42,Silt,0.37,0.71,30.54,37.97,707.8,11.56,6.23,West,2462,Kharif,Rainfed,329.36,Pulses,Millet
90,22,67,5.7,38.3,Loamy,0.53,2.35,10.46,60.69,1137.35,5.72,6.85,North,1242,Rabi,Drip,200.02,Maize,Wheat
20,49,85,7.24,27.76,Clay,1.34,2.34,28.93,61.7,1546.04,5.03,6.77,South,317,Zaid,Canal,316.83,Maize,Rice
142,67,66,7.72,37.01,Clay,0.53,2.16,34.97,82.23,2858.44,8.28,17.45,South,1625,Zaid,Canal,87.15,Pulses,Rice
81,27,106,6.01,42.36,Clay,1.17,2.72,29.26,31.33,1827.27,5.45,1.32,Central,627,Zaid,Drip,284.4,Wheat,Rice
51,66,96,7.49,42.24,Silt,0.78,0.51,11.96,38.19,2734.95,8.33,14.5,North,1553,Kharif,Drip,132.34,Wheat,Wheat
48,47,72,8.03,43.68,Loamy,1.19,0.85,39.73,40.24,1780.5,8.04,19.15,North,1260,Kharif,Sprinkler,129.28,Cotton,Rice
68,41,21,7.57,43.96,Silt,0.5,0.83,20.68,33.77,775.11,4.16,15.29,Central,900,Rabi,Drip,348.83,Rice,Wheat
49,75,20,4.64,15.46,Loamy,0.75,2.37,21.41,67.89,1780.24,11.71,10.33,South,477,Rabi,Drip,84.74,Vegetables,Rice
38,86,22,7.81,19.59,Sandy,0.61,1.61,12.54,43.78,481.24,5.61,2.56,East,1926,Zaid,Sprinkler,134.48,Vegetables,Wheat
37,34,44,7.6,41.53,Clay,0.52,0.83,15.01,64.6,527.76,11.16,1.58,Central,8,Zaid,Sprinkler,131.02,Maize,Wheat
20,67,36,7.18,30.41,Sandy,0.61,0.5,18.14,76.96,523.86,7.06,4.96,North,1994,Kharif,Sprinkler,55.76,Maize,Wheat
97,84,98,7.54,48.14,Clay,0.62,2.69,33.98,54.51,234.31,5.27,12.63,West,2268,Zaid,Canal,199.3,Cotton,Millet
134,42,113,8.42,16.25,Sandy,1.44,2.11,30.75,76.13,623.6,4.85,9.63,Central,1470,Zaid,Drip,120.91,Maize,Millet
132,75,76,6.22,19.58,Silt,0.89,1.63,27.51,76.67,1188.34,8.09,12.43,South,1464,Zaid,Canal,311.26,Rice,Sugarcane
133,39,98,4.77,37.92,Clay,0.8,2.9,35.92,45.81,401.93,6.89,2.63,Central,1059,Kharif,Rainfed,64.93,Vegetables,Millet
82,43,54,6.34,35.04,Silt,0.85,2.56,39.93,30.94,217.26,11.34,16.73,West,609,Kharif,Rainfed,171.61,Cotton,Millet
151,78,83,4.69,23.32,Silt,1.49,0.62,21.54,36.2,514.36,5.61,13.9,South,891,Kharif,Sprinkler,246.06,Rice,Wheat
148,57,90,5.68,30.42,Loamy,1.05,1.57,21.74,79.41,2820.96,9.79,13.12,East,1899,Kharif,Rainfed,266.55,Wheat,Rice
27,49,76,6.85,11.75,Clay,1.11,1.51,32.08,54.32,1671.79,5.49,4.28,North,12,Rabi,Rainfed,279.34,Pulses,Rice
74,60,118,5.74,11.85,Sandy,0.61,2.55,29.33,80.35,1418.07,10.97,11.37,North,274,Kharif,Rainfed,319.8,Pulses,Maize
122,89,31,7.24,14.75,Sandy,0.81,0.53,10.4,62.85,1564.04,8.08,5.85,North,2250,Kharif,Drip,333.01,Pulses,Wheat
150,22,111,7.79,38.84,Clay,0.44,1.41,29.66,41.84,1753.46,10.65,18.72,Central,925,Zaid,Sprinkler,257.55,Maize,Rice
51,40,87,6.18,53.19,Loamy,1.09,1.95,31.59,72.73,501.93,7.5,9.87,North,1059,Kharif,Sprinkler,249.21,Wheat,Millet
29,48,100,8.1,23.01,Clay,0.65,2.84,39.58,63.49,1837.32,5.4,6.84,East,2307,Kharif,Drip,209.94,Vegetables,Rice
129,72,51,4.82,11.7,Silt,1.17,2.71,27.6,51.11,2535.83,8.31,19.06,Central,1437,Zaid,Canal,180.41,Vegetables,Rice
143,57,29,7.86,45.43,Loamy,0.48,1.65,30.53,35.26,1769.81,6.18,4.91,East,1212,Zaid,Sprinkler,341.94,Rice,Rice
106,57,57,7.81,52.77,Silt,0.72,1.86,33.66,36.14,2672.53,5.48,10.37,South,2207,Zaid,Rainfed,248.25,Cotton,Rice
74,70,27,5.79,16.91,Clay,0.81,2.57,12.88,41.31,587.04,11.23,4.25,East,73,Rabi,Rainfed,232.86,Wheat,Barley
51,21,86,5.69,29.29,Loamy,0.42,2.26,32.04,70.38,2512.48,8.41,2.79,North,1770,Zaid,Sprinkler,138.38,Rice,Rice
154,87,115,5.72,17.94,Clay,0.29,2.65,26.41,73.68,2055.32,10.4,1.99,West,300,Zaid,Canal,164.35,Vegetables,Rice
112,65,79,7.75,15.32,Clay,0.61,2.7,13.0,67.85,1890.28,10.21,1.3,East,2334,Rabi,Sprinkler,127.33,Maize,Wheat
27,27,83,7.83,42.41,Loamy,0.91,2.51,30.1,50.24,1848.57,4.01,14.48,Central,695,Zaid,Sprinkler,197.89,Pulses,Rice
84,36,110,5.82,58.38,Loamy,1.05,0.13,17.04,56.43,533.05,11.09,8.37,East,1770,Zaid,Sprinkler,160.23,Cotton,Cotton
76,37,102,6.87,43.91,Clay,0.75,1.0,26.14,72.57,1997.44,10.19,18.52,East,2345,Kharif,Drip,313.33,Wheat,Rice
86,89,15,5.06,59.24,Sandy,0.85,1.27,18.43,69.59,1316.58,6.15,12.91,East,86,Zaid,Drip,200.76,Pulses,Pulses
91,61,48,6.38,31.72,Loamy,0.91,2.07,13.14,76.38,377.12,5.83,16.33,East,1399,Zaid,Rainfed,346.29,Pulses,Wheat
73,25,20,8.5,54.89,Sandy,0.87,0.99,17.53,44.47,774.72,4.45,6.37,West,1021,Rabi,Canal,281.34,Rice,Wheat
86,86,34,5.14,20.25,Sandy,0.32,1.04,23.16,30.27,1439.22,4.74,5.04,West,1098,Kharif,Sprinkler,88.87,Cotton,Barley
70,67,117,8.29,15.9,Sandy,0.73,1.26,24.82,45.99,2980.34,5.56,9.44,Central,52,Kharif,Sprinkler,111.06,Wheat,Rice
116,18,117,7.8,45.13,Sandy,0.47,2.87,14.45,50.87,1405.87,4.03,16.72,North,2346,Rabi,Canal,328.25,Maize,Wheat
111,35,103,8.39,28.57,Silt,0.89,1.37,19.63,87.63,619.38,6.53,10.1,West,1815,Kharif,Rainfed,338.45,Cotton,Wheat
27,37,64,5.22,25.88,Clay,1.19,0.51,35.78,43.06,2724.79,11.38,11.46,South,918,Rabi,Drip,51.44,Cotton,Rice
54,86,93,5.35,43.56,Loamy,0.95,0.12,37.31,79.58,298.67,8.44,7.81,East,985,Kharif,Rainfed,186.64,Wheat,Millet
115,45,67,4.57,26.67,Clay,0.49,0.79,26.06,67.35,554.84,8.64,12.26,East,146,Kharif,Sprinkler,126.94,Rice,Millet
107,18,46,7.4,38.63,Clay,0.47,2.82,24.71,40.05,1526.43,5.89,10.61,Central,1446,Zaid,Sprinkler,133.18,Wheat,Rice
97,56,25,7.08,24.97,Clay,0.25,2.87,27.44,54.21,459.78,5.8,9.79,West,1428,Zaid,Drip,200.13,Vegetables,Millet
51,87,104,5.21,49.19,Clay,0.75,1.63,16.44,60.61,1800.44,6.94,11.43,South,2478,Rabi,Canal,220.29,Vegetables,Potato
139,60,102,7.66,25.62,Clay,0.76,1.97,39.81,50.65,641.75,6.1,8.96,East,137,Rabi,Sprinkler,69.07,Wheat,Millet
65,85,79,5.7,36.75,Loamy,0.51,2.41,32.36,43.57,2022.4,10.87,15.96,North,1519,Zaid,Drip,247.43,Pulses,Rice
74,66,102,5.04,11.16,Clay,1.19,0.26,17.16,45.17,529.46,5.42,2.29,South,58,Rabi,Drip,171.54,Vegetables,Wheat
26,41,105,6.19,49.59,Clay,0.7,1.19,18.16,65.11,2468.29,9.4,7.73,East,2037,Zaid,Rainfed,65.54,Wheat,Wheat
93,76,82,4.86,41.02,Clay,1.07,1.96,29.45,71.29,2254.72,7.92,15.31,East,296,Rabi,Rainfed,88.06,Vegetables,Rice
26,66,46,5.55,19.61,Silt,1.03,2.7,19.69,58.14,2791.13,9.42,7.95,Central,1982,Zaid,Sprinkler,65.23,Cotton,Wheat
104,63,62,5.99,20.77,Sandy,0.99,2.21,20.66,86.5,391.57,10.68,9.92,North,1826,Kharif,Drip,154.44,Cotton,Cotton
131,25,96,7.91,23.12,Silt,1.38,1.12,33.43,73.71,1754.83,6.73,8.45,Central,1313,Zaid,Rainfed,247.47,Wheat,Rice
144,71,25,7.67,38.83,Clay,0.22,2.74,18.01,83.51,2184.79,8.33,7.65,Central,929,Zaid,Rainfed,231.75,Maize,Wheat
55,65,27,6.27,37.42,Silt,0.29,2.03,31.16,58.54,2727.46,7.99,11.44,West,1252,Kharif,Canal,202.48,Rice,Rice
48,32,28,7.4,23.69,Loamy,1.14,2.51,38.05,30.89,1549.75,6.99,4.11,South,43,Zaid,Sprinkler,247.32,Pulses,Rice
101,26,53,6.77,44.7,Loamy,0.66,1.22,13.72,65.52,2863.68,10.5,9.28,West,248,Kharif,Sprinkler,312.39,Maize,Wheat
21,89,11,5.86,54.45,Loamy,1.48,0.11,14.33,79.1,542.94,4.08,15.34,North,2181,Kharif,Drip,126.13,Vegetables,Cotton
148,47,67,7.4,12.18,Sandy,0.48,0.58,38.29,62.19,1413.04,6.48,1.18,Central,593,Rabi,Drip,337.44,Wheat,Sugarcane
66,81,19,7.23,30.86,Loamy,0.44,2.79,16.11,64.07,908.88,10.66,12.45,West,1654,Rabi,Rainfed,338.88,Rice,Wheat
30,39,85,6.98,39.68,Sandy,0.96,0.2,10.63,88.5,635.09,10.98,19.66,North,1350,Rabi,Rainfed,206.94,Pulses,Wheat
149,67,55,6.97,39.32,Loamy,0.56,1.83,36.06,51.97,1002.99,9.55,8.65,South,2359,Kharif,Drip,262.74,Pulses,Sugarcane
138,87,91,7.23,10.98,Silt,0.64,1.29,18.47,78.11,2061.21,6.73,11.24,North,1893,Rabi,Rainfed,260.79,Cotton,Wheat
159,31,28,6.04,20.53,Silt,1.4,1.35,18.95,60.3,1552.97,10.58,3.67,West,1688,Zaid,Sprinkler,250.92,Wheat,Wheat
39,26,47,7.98,13.09,Silt,0.23,1.26,16.81,57.82,708.34,4.67,14.42,East,466,Kharif,Drip,56.89,Wheat,Wheat
24,24,46,5.15,38.45,Silt,0.89,0.3,37.53,38.73,288.82,6.12,8.94,East,2163,Zaid,Drip,269.3,Cotton,Millet
56,57,100,8.04,42.27,Sandy,0.64,0.45,33.23,74.9,2785.8,4.74,15.61,South,2294,Zaid,Canal,268.14,Pulses,Rice
156,41,87,5.87,17.99,Loamy,0.65,0.28,27.9,79.4,1079.58,4.88,3.39,South,599,Kharif,Drip,227.8,Wheat,Sugarcane
72,86,54,5.0,26.65,Clay,0.52,0.26,23.6,55.85,557.24,8.74,2.44,North,2303,Rabi,Drip,50.93,Vegetables,Wheat
118,49,43,6.9,26.49,Silt,0.38,0.35,14.31,75.81,609.21,4.58,6.34,South,1692,Kharif,Drip,123.7,Vegetables,Wheat
105,66,11,6.0,50.99,Loamy,0.24,2.12,37.78,64.87,909.59,9.44,4.32,Central,737,Rabi,Rainfed,75.01,Cotton,Barley
127,67,53,7.76,19.73,Loamy,1.48,0.43,32.49,45.45,846.27,6.79,16.53,Central,1963,Kharif,Sprinkler,193.6,Maize,Tomato
43,25,106,6.22,37.42,Loamy,1.06,0.86,18.37,85.42,982.74,4.45,15.4,Central,2090,Rabi,Canal,76.16,Vegetables,Wheat
100,37,92,7.17,49.15,Clay,1.21,2.01,38.42,71.81,831.43,6.28,19.37,Central,1448,Kharif,Canal,173.66,Wheat,Cotton
139,10,36,5.73,51.48,Silt,0.28,0.43,38.06,82.7,1405.81,7.19,2.27,South,2452,Rabi,Drip,118.99,Vegetables,Sugarcane
78,50,57,5.34,43.33,Sandy,0.22,2.74,29.79,46.89,2343.69,6.93,6.46,South,1902,Rabi,Drip,179.08,Maize,Rice
147,57,103,6.05,24.98,Sandy,0.98,1.48,39.55,84.98,276.1,8.08,19.44,North,1333,Rabi,Drip,181.95,Vegetables,Millet
133,40,16,6.93,51.15,Clay,1.14,2.89,15.62,51.88,733.3,8.02,3.03,East,1749,Zaid,Rainfed,179.15,Rice,Wheat
134,45,36,7.13,47.11,Clay,0.71,0.66,31.94,30.57,2193.56,6.88,10.31,East,1167,Kharif,Drip,176.18,Cotton,Rice
33,42,94,6.81,45.22,Sandy,0.7,0.19,14.57,34.5,616.86,11.19,13.46,North,2320,Kharif,Canal,155.2,Maize,Wheat
28,42,80,8.45,13.37,Sandy,0.7,1.81,30.75,35.36,2275.72,5.76,5.32,South,2181,Rabi,Drip,293.25,Maize,Rice
59,32,98,7.26,12.16,Silt,0.4,1.05,37.6,42.43,1641.47,6.72,15.75,South,835,Kharif,Canal,131.72,Pulses,Rice
44,69,111,8.23,44.77,Sandy,1.18,1.76,26.08,41.19,2668.52,8.43,17.19,North,726,Zaid,Canal,175.41,Maize,Rice
122,88,27,4.97,57.24,Sandy,0.48,1.47,32.89,33.47,228.45,5.96,8.56,South,2005,Kharif,Sprinkler,341.5,Cotton,Millet
41,39,42,4.75,48.69,Sandy,0.62,1.43,14.29,83.72,2396.2,5.2,14.38,West,1404,Kharif,Drip,253.83,Pulses,Millet
23,54,42,5.74,51.57,Clay,1.07,2.57,29.0,79.7,1802.19,4.05,11.08,South,1972,Rabi,Canal,253.04,Rice,Rice
48,89,105,5.05,37.25,Sandy,0.2,0.66,11.9,75.77,1512.86,11.56,13.92,South,306,Rabi,Sprinkler,100.47,Maize,Potato
128,48,34,6.6,25.23,Sandy,1.2,1.55,11.11,58.75,608.02,10.27,9.55,North,855,Rabi,Rainfed,95.7,Rice,Wheat
117,54,23,6.58,43.89,Silt,1.37,1.31,29.02,55.51,855.38,11.11,1.64,East,1860,Zaid,Rainfed,54.4,Wheat,Sugarcane
56,87,47,6.8,45.6,Loamy,0.27,2.05,27.18,55.52,2400.88,4.32,7.16,South,675,Kharif,Rainfed,294.85,Maize,Rice
94,21,47,7.48,43.77,Clay,0.97,0.25,19.88,45.71,617.22,4.59,6.6,West,386,Kharif,Canal,273.51,Wheat,Wheat
89,41,13,8.39,57.34,Clay,0.73,1.64,25.39,66.5,1676.57,8.42,18.56,West,1508,Rabi,Rainfed,345.18,Wheat,Rice
147,65,117,8.01,28.36,Silt,0.3,1.49,30.53,33.54,781.36,4.19,9.33,West,2284,Zaid,Rainfed,226.51,Cotton,Millet
104,33,71,4.97,11.98,Sandy,1.09,2.92,29.34,69.53,1569.96,6.17,18.17,West,907,Zaid,Drip,336.53,Pulses,Rice
61,22,91,5.85,55.42,Loamy,1.0,2.29,12.21,60.83,913.27,11.78,1.11,Central,2167,Zaid,Canal,166.26,Rice,Wheat
119,29,19,5.52,18.02,Silt,1.04,0.55,30.34,78.99,1183.11,6.86,13.01,East,1223,Kharif,Sprinkler,116.86,Maize,Sugarcane
60,88,44,5.21,44.87,Loamy,1.26,1.58,29.79,88.36,2446.84,11.84,9.68,Central,504,Rabi,Rainfed,284.38,Vegetables,Rice
53,65,108,6.68,53.66,Sandy,0.57,2.37,30.09,82.6,303.93,4.95,1.85,North,190,Kharif,Sprinkler,150.52,Maize,Millet
36,62,113,6.71,25.51,Loamy,1.08,1.62,35.42,73.2,2788.03,7.08,9.89,South,1971,Rabi,Rainfed,347.76,Maize,Rice
141,77,32,5.41,51.52,Silt,1.17,1.13,27.3,55.97,1094.27,4.05,8.29,South,1015,Zaid,Drip,95.81,Pulses,Sugarcane
95,63,98,7.35,26.6,Sandy,0.42,1.19,38.14,42.87,1868.92,8.73,5.05,Central,545,Rabi,Rainfed,54.09,Wheat,Rice
106,43,74,7.43,49.71,Clay,1.44,1.16,39.4,69.89,820.91,6.73,2.5,East,1123,Zaid,Drip,242.51,Rice,Potato
136,37,91,4.58,13.49,Loamy,0.64,0.16,32.56,42.1,1204.46,8.03,16.02,East,1147,Kharif,Sprinkler,150.32,Vegetables,Sugarcane
125,59,88,6.08,42.76,Sandy,1.13,2.22,20.76,31.22,1487.06,10.36,12.56,East,845,Rabi,Canal,154.4,Maize,Sugarcane
105,11,34,8.06,43.86,Sandy,1.18,1.87,14.29,64.39,2128.49,8.41,12.22,Central,2454,Rabi,Drip,256.37,Maize,Wheat
46,35,105,6.58,34.57,Silt,0.86,0.88,34.6,53.65,2644.65,9.32,18.21,North,2410,Kharif,Canal,280.59,Pulses,Rice
76,60,62,5.89,44.35,Sandy,0.37,1.93,14.4,82.56,2625.16,7.78,1.23,South,885,Rabi,Canal,172.04,Rice,Barley
50,56,93,5.51,56.16,Silt,0.56,1.0,14.39,68.75,1143.63,9.98,11.29,Central,100,Kharif,Rainfed,91.8,Cotton,Barley
153,35,26,5.47,46.69,Clay,0.5,0.81,37.57,68.84,448.39,8.82,19.1,Central,1131,Rabi,Rainfed,171.47,Vegetables,Millet
117,84,66,4.9,58.06,Loamy,0.87,2.25,26.8,77.27,2790.05,10.93,9.55,East,1169,Kharif,Drip,142.42,Wheat,Rice
31,83,84,7.77,32.43,Clay,0.54,2.45,18.8,50.14,285.95,10.05,9.97,Central,1251,Rabi,Sprinkler,280.72,Rice,Wheat
72,70,86,4.85,36.41,Silt,0.91,1.91,38.89,87.49,2666.98,5.86,2.32,Central,703,Kharif,Rainfed,152.07,Maize,Rice
157,32,98,5.67,23.19,Clay,0.57,2.37,31.22,43.28,272.3,8.2,14.38,West,2425,Zaid,Rainfed,132.75,Cotton,Millet
141,46,29,4.68,59.28,Loamy,0.2,1.16,26.05,82.3,2934.54,11.0,15.48,East,27,Zaid,Canal,278.12,Wheat,Rice
65,50,34,7.63,12.76,Clay,0.67,0.31,19.88,84.65,231.21,10.87,3.64,North,1102,Kharif,Rainfed,346.51,Pulses,Wheat
83,61,51,4.66,27.93,Sandy,0.99,1.85,30.3,32.34,247.6,7.82,13.13,South,1664,Zaid,Sprinkler,134.35,Cotton,Millet
149,58,54,5.73,24.88,Loamy,1.21,0.84,31.93,67.91,1624.39,6.51,8.1,North,2465,Rabi,Sprinkler,219.42,Cotton,Rice
73,36,40,6.79,29.33,Clay,0.24,2.35,31.36,74.97,2066.96,5.69,11.73,East,195,Zaid,Canal,318.23,Vegetables,Rice
126,15,74,6.14,55.89,Loamy,0.54,1.14,15.86,87.23,1187.79,5.55,13.82,North,1951,Zaid,Drip,335.9,Pulses,Wheat
70,83,61,5.63,28.4,Clay,1.48,2.04,30.92,45.08,1896.51,5.15,2.91,Central,810,Zaid,Drip,324.06,Cotton,Rice
55,75,89,5.6,55.85,Sandy,0.54,1.7,27.44,63.71,2568.4,12.0,6.72,North,531,Zaid,Drip,330.66,Vegetables,Rice
134,33,101,7.69,31.17,Silt,1.21,2.47,35.5,76.39,2427.64,9.3,17.01,West,776,Rabi,Canal,99.38,Cotton,Rice
45,47,30,8.4,52.74,Clay,0.86,2.51,28.74,38.9,2675.42,6.52,4.22,East,2419,Kharif,Rainfed,166.29,Cotton,Rice
48,37,39,5.89,36.09,Loamy,0.36,0.3,14.39,81.18,645.65,6.35,13.35,Central,1394,Rabi,Sprinkler,171.32,Wheat,Wheat
30,37,12,4.66,25.57,Clay,1.04,0.96,19.56,54.22,828.98,6.44,16.89,North,168,Kharif,Canal,255.87,Cotton,Cotton
59,75,107,4.65,32.47,Silt,1.46,2.63,32.31,68.39,1845.6,10.98,12.87,Central,276,Zaid,Canal,71.65,Wheat,Rice
30,70,79,7.54,31.22,Sandy,1.35,1.27,32.2,32.52,2226.27,8.11,15.92,West,2151,Zaid,Canal,124.3,Cotton,Rice
132,55,52,6.71,23.0,Sandy,1.1,1.59,16.68,43.38,500.62,6.17,10.29,Central,1999,Kharif,Sprinkler,318.2,Maize,Wheat
58,78,38,7.63,24.48,Silt,0.87,0.63,20.64,58.69,691.77,10.39,17.77,South,832,Kharif,Rainfed,292.43,Pulses,Millet
73,84,12,7.29,19.32,Sandy,0.62,1.7,10.46,47.35,2784.21,10.0,13.87,West,1707,Kharif,Canal,161.71,Maize,Wheat
117,83,67,8.13,26.8,Clay,0.66,0.87,19.95,87.47,272.35,7.74,7.49,West,1187,Zaid,Drip,186.35,Rice,Wheat
74,52,42,8.04,41.22,Loamy,0.65,2.5,10.79,77.7,1325.02,9.51,10.88,East,1895,Rabi,Sprinkler,191.56,Maize,Wheat
130,68,84,7.65,29.33,Clay,1.4,0.68,36.19,81.89,790.4,9.91,13.29,East,2065,Rabi,Rainfed,262.36,Wheat,Millet
88,11,54,6.4,45.62,Silt,0.47,1.14,30.0,57.98,2368.1,4.4,15.97,East,1835,Rabi,Sprinkler,233.22,Rice,Rice
75,24,78,5.73,59.35,Clay,0.69,0.38,39.07,58.42,2618.04,11.0,4.2,South,750,Rabi,Drip,181.59,Rice,Rice
52,46,41,6.53,28.86,Clay,0.76,1.81,36.76,78.31,891.57,6.3,19.82,Central,468,Zaid,Canal,149.36,Maize,Maize
55,80,91,6.51,33.13,Silt,0.73,2.83,28.1,53.25,1851.67,11.85,3.86,South,123,Rabi,Canal,265.21,Pulses,Rice
100,29,93,6.94,18.21,Loamy,0.21,0.6,25.09,58.85,2560.99,11.27,11.33,North,228,Kharif,Rainfed,82.47,Vegetables,Rice
128,44,61,5.24,29.61,Sandy,0.55,0.16,36.51,61.72,1875.82,4.15,1.33,North,343,Kharif,Rainfed,137.24,Vegetables,Rice
92,43,73,7.12,46.34,Silt,0.85,1.33,18.95,66.43,1881.97,8.97,9.37,East,964,Kharif,Rainfed,96.58,Maize,Wheat
59,40,112,6.33,20.87,Sandy,1.19,2.27,16.71,69.0,1356.02,11.72,1.05,South,588,Kharif,Canal,94.69,Maize,Wheat
36,28,49,6.98,19.1,Sandy,0.94,2.93,22.3,70.85,2028.46,8.52,2.33,South,1442,Rabi,Sprinkler,134.77,Pulses,Rice
148,77,101,5.46,28.82,Silt,0.7,0.25,11.6,56.64,2888.94,8.93,11.41,East,217,Kharif,Canal,331.55,Maize,Sugarcane
80,33,22,6.24,50.93,Loamy,1.06,2.38,19.06,47.71,1038.96,11.45,9.67,North,1341,Rabi,Rainfed,74.65,Rice,Wheat
123,48,99,5.34,41.18,Silt,1.07,1.17,12.51,85.21,761.67,8.58,2.2,East,1428,Rabi,Rainfed,199.63,Maize,Wheat
61,63,89,8.0,57.88,Silt,0.52,0.55,11.58,79.6,2882.79,5.96,18.69,East,1274,Zaid,Sprinkler,326.21,Pulses,Wheat
44,48,98,6.45,55.23,Clay,0.33,0.66,26.54,30.21,368.49,7.68,7.65,Central,150,Zaid,Rainfed,217.91,Cotton,Millet
58,26,83,5.4,17.56,Clay,1.24,2.78,31.24,60.78,2551.75,6.8,15.11,Central,138,Kharif,Drip,140.45,Pulses,Rice
54,28,38,4.66,12.13,Silt,0.89,2.45,26.1,46.48,2747.43,5.34,19.29,East,887,Kharif,Canal,117.19,Pulses,Rice
150,57,119,7.2,29.95,Clay,0.43,1.0,12.12,68.56,814.4,5.71,18.27,East,1575,Kharif,Canal,146.58,Pulses,Wheat
127,44,72,5.36,36.1,Loamy,0.54,2.83,21.85,60.16,1391.99,4.49,13.97,South,2054,Kharif,Canal,93.68,Vegetables,Sugarcane
121,41,111,8.46,35.78,Clay,1.2,0.41,13.33,31.27,544.48,5.35,1.35,Central,1526,Rabi,Canal,134.03,Pulses,Wheat
117,56,93,6.63,16.71,Loamy,1.05,1.04,29.5,73.67,1227.51,6.07,13.18,Central,691,Rabi,Rainfed,293.19,Cotton,Sugarcane
31,56,35,5.66,16.24,Sandy,1.43,1.99,34.79,46.52,1480.5,10.07,2.59,West,1199,Kharif,Rainfed,246.18,Vegetables,Rice
38,73,105,7.13,12.34,Sandy,0.8,3.0,13.5,45.61,1626.79,6.93,9.12,East,2452,Kharif,Sprinkler,86.77,Wheat,Wheat
120,55,112,5.6,52.54,Loamy,0.27,1.45,12.01,31.92,542.89,9.53,18.37,West,989,Rabi,Canal,138.34,Pulses,Potato
63,44,111,7.78,57.39,Sandy,1.11,2.45,22.18,79.7,1330.13,11.97,3.27,East,375,Zaid,Canal,221.21,Rice,Tomato
68,26,68,5.73,15.78,Loamy,0.53,2.76,19.1,64.73,1950.41,8.65,14.4,Central,646,Rabi,Canal,104.14,Pulses,Barley
36,51,58,8.45,20.66,Silt,0.62,0.13,17.82,59.09,1600.4,8.91,6.39,South,1737,Zaid,Canal,118.85,Rice,Wheat
93,38,62,6.92,14.49,Clay,0.46,0.94,16.34,70.55,2555.97,8.42,4.07,East,1556,Kharif,Sprinkler,232.98,Cotton,Wheat
76,79,97,7.88,53.88,Sandy,0.6,0.39,19.51,50.72,2863.0,7.16,5.56,East,1982,Rabi,Drip,286.07,Maize,Wheat
74,26,40,4.79,57.94,Sandy,1.28,2.35,38.96,64.17,2487.19,5.49,8.72,East,2070,Zaid,Canal,294.86,Maize,Rice
66,23,113,5.89,23.09,Silt,0.95,1.74,35.73,44.96,332.67,11.82,16.3,West,1968,Rabi,Canal,215.25,Cotton,Millet
